ASV_updated,SSU_FAMILY_x_LSU_family,SSU_genus_x_LSU_genus,ITS_family_x_LSU_family,ITS_genus_x_LSU_genus,ITS_species_x_LSU_species
Glomus_rugosae_P3-bc1068-1438-s4404_STFP_ASV2038_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_celata_P3-bc1073-1107-2_STFP_ASV2542_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_celata_P3-bc1073-1107-s16_STFP_ASV2540_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_celata_P3-bc1073-1107-s18_STFP_ASV2539_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_celata_P3-bc1073-1107-s66_STFP_ASV2538_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_celata_P3-bc1073-1107-s74_STFP_ASV2541_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1078-1128-s12_STFP_ASV2393_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1078-1128-s13_STFP_ASV2362_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P3-bc1078-1128-s14_STFP_ASV2385_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1078-1128-s247_STFP_ASV2099_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1078-1128-s317_STFP_ASV2071_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1078-1128-s34_STFP_ASV2387_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1078-1128-s42_STFP_ASV2361_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P3-bc1078-1128-s47_STFP_ASV2085_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P3-bc1078-1128-s54_STFP_ASV2017_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_chinense_P3-bc1083-733-s164_STFP_ASV2081_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P3-bc1083-733-s1940_STFP_ASV2053_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P3-bc1083-733-s203_STFP_ASV2088_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P3-bc1083-733-s51_STFP_ASV2339_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P3-bc1083-733-s72_STFP_ASV2333_CCAMF,Correct,Correct,Correct,Correct,NA
Gigaspora_rosea_P3-bc1087-461-s17_STFP_ASV2629_CCAMF,Correct,Correct,Correct,Correct,Correct
Gigaspora_rosea_P3-bc1087-461-s20_STFP_ASV2630_CCAMF,Correct,Correct,Correct,Correct,Correct
Gigaspora_rosea_P3-bc1087-461-s26_STFP_ASV2626_CCAMF,Correct,Correct,Correct,Correct,Correct
Glomus_macrocarpum_P3-bc1094-1214-s140_STFP_ASV2359_CCAMF,Correct,Correct,Correct,Correct,Correct
Glomus_macrocarpum_P3-bc1094-1214-s51_STFP_ASV2358_CCAMF,Correct,Correct,Correct,Correct,Correct
Glomus_macrocarpum_P3-bc1094-1214-s53_STFP_ASV2012_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_macrocarpum_P3-bc1094-1214-s54_STFP_ASV2357_CCAMF,Correct,Correct,Correct,Correct,Correct
Glomus_macrocarpum_P3-bc1094-1214-s68_STFP_ASV2360_CCAMF,Correct,Correct,Correct,Correct,Correct
Glomus_rugosae_P3-bc1095-65-s123_STFP_ASV2087_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1095-65-s35_STFP_ASV2056_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1001-1026-s1045_STFP_ASV2349_CCAMF,Correct,Correct,Correct,Correct,NA
