"ASV2"	"ASV1"	"species_1"	"cultures_1"	"species_2"	"cultures_2"
"26"	"Dentiscutata_heterogama_FL728_ASV_205"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_34"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"FL728"
"27"	"Dentiscutata_heterogama_FL728_ASV_205"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_48"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"FL728"
"28"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_10"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_30"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"IL203A"
"29"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_17"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_33"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"IL203A"
"30"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_19"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_28"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"IL203A"
"31"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_38"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_63"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"IL203A"
"32"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_42"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_73"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"IL203A"
"33"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_43"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_67"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"IL203A"
"34"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_47"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_37"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"IL203A"
"35"	"Dentiscutata_heterogama_IL203A_zuzana_ASV_7"	"Dentiscutata_heterogama_IL203A_zuzana_RSII_ASV_9"	"Dentiscutata_heterogama"	"IL203A"	"Dentiscutata_heterogama"	"IL203A"
