asv	sequencing_depth	species	samples	cultures	single_or_multiple_cultures	name
ASV_19	338	Funneliformis_mosseae	69|71	NC302C|510_4A	Multi	Funneliformis_mosseae_NC302C|510_4A_ASV_19
ASV_20	328	Multiple_species	15|46	MR101|87_11	Multi	Multiple_species_MR101|87_11_ASV_20
ASV_21	320	Rhizophagus_clarus	19	FL879N	Single	Rhizophagus_clarus_FL879N_ASV_21
ASV_22	312	Rhizophagus_clarus	36	BR147B	Single	Rhizophagus_clarus_BR147B_ASV_22
ASV_23	300	Multiple_species	15|46|90	4A	Single	Multiple_species_4A_ASV_23
ASV_24	300	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_24
ASV_25	299	Multiple_species	37|39	IS185_26|JA205B	Multi	Multiple_species_IS185_26|JA205B_ASV_25
ASV_26	290	Septoglomus_constrictum	24	FL328	Single	Septoglomus_constrictum_FL328_ASV_26
ASV_27	289	Multiple_species	37|39	IS185_26|JA205B	Multi	Multiple_species_IS185_26|JA205B_ASV_27
ASV_28	285	Rhizophagus_clarus	36	BR147B	Single	Rhizophagus_clarus_BR147B_ASV_28
ASV_29	279	Multiple_species	37|39	IS185_26|JA205B	Multi	Multiple_species_IS185_26|JA205B_ASV_29
ASV_30	266	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_30
ASV_31	255	Gigaspora_gigantea	80	KS302	Single	Gigaspora_gigantea_KS302_ASV_31
ASV_32	252	Acaulospora_mellea	23	CL649	Single	Acaulospora_mellea_CL649_ASV_32
ASV_33	243	Rhizophagus_dimorphicus	25	FL912N	Single	Rhizophagus_dimorphicus_FL912N_ASV_33
ASV_34	241	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_34
ASV_35	221	Gigaspora_margarita	5	NC114B	Single	Gigaspora_margarita_NC114B_ASV_35
ASV_36	201	Multiple_species	15|90	MR101|510_4A	Multi	Multiple_species_MR101|510_4A_ASV_36
ASV_37	200	Gigaspora_gigantea	80	KS302	Single	Gigaspora_gigantea_KS302_ASV_37
ASV_38	199	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_38
ASV_39	197	Funneliformis_mosseae	90	510_4A	Single	Funneliformis_mosseae_510_4A_ASV_39
ASV_40	193	Gigaspora_decipiens|unknown	71|89	AU102_9|JAY2	Multi	Gigaspora_decipiens|unknown_AU102_9|JAY2_ASV_40
ASV_41	191	Multiple_species	15|46	MR101|87_11	Multi	Multiple_species_MR101|87_11_ASV_41
ASV_42	190	Rhizophagus_clarus	19	FL879N	Single	Rhizophagus_clarus_FL879N_ASV_42
ASV_43	186	Rhizophagus_clarus	36	BR147B	Single	Rhizophagus_clarus_BR147B_ASV_43
ASV_44	185	Rhizophagus_clarus	36	BR147B	Single	Rhizophagus_clarus_BR147B_ASV_44
ASV_45	175	Gigaspora_decipiens|unknown	71|89	AU102_9|JAY2	Multi	Gigaspora_decipiens|unknown_AU102_9|JAY2_ASV_45
ASV_46	172	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_46
ASV_47	162	Funneliformis_coronatus	15	MR101	Single	Funneliformis_coronatus_MR101_ASV_47
ASV_48	157	Funneliformis_coronatus	15	MR101	Single	Funneliformis_coronatus_MR101_ASV_48
ASV_49	147	Funneliformis_coronatus	15	MR101	Single	Funneliformis_coronatus_MR101_ASV_49
